Time,Count
2020-11-01,28190
2020-11-02,65829
2020-11-03,68220
2020-11-04,69067
2020-11-05,70873
2020-11-06,72630
2020-11-07,45911
2020-11-08,33773
2020-11-09,68189
2020-11-10,70367
2020-11-11,69463
2020-11-12,73775
2020-11-13,76328
2020-11-14,48363
2020-11-15,37826
2020-11-16,69904
2020-11-17,72083
2020-11-18,73859
2020-11-19,75251
2020-11-20,76692
2020-11-21,51057
2020-11-22,39060
2020-11-23,71039
2020-11-24,71521
2020-11-25,74771
2020-11-26,76457
2020-11-27,78051
2020-11-28,52240
2020-11-29,41031
2020-11-30,73390
2020-12-01,83768
2020-12-02,85633
2020-12-03,87908
2020-12-04,88603
2020-12-05,67694
2020-12-06,57174
2020-12-07,83560
2020-12-08,84310
2020-12-09,85537
2020-12-10,86874
2020-12-11,90772
2020-12-12,69672
2020-12-13,53869
2020-12-14,83945
2020-12-15,87210
2020-12-16,85286
2020-12-17,89942
2020-12-18,93833
2020-12-19,72077
2020-12-20,62812
2020-12-21,88763
2020-12-22,89242
2020-12-23,82802
2020-12-24,57782
2020-12-25,26515
2020-12-26,32779
2020-12-27,39700
2020-12-28,46613
2020-12-29,55612
2020-12-30,62268
2020-12-31,47396
2021-01-01,21519
2021-01-02,32570
2021-01-03,27714
2021-01-04,51657
2021-01-05,54137
2021-01-06,55826
2021-01-07,50783
2021-01-08,55585
2021-01-09,33765
2021-01-10,26807
2021-01-11,50452
2021-01-12,50728
2021-01-13,51412
2021-01-14,52361
2021-01-15,53151
2021-01-16,35698
2021-01-17,26574
2021-01-18,51013
2021-01-19,51282
2021-01-20,51962
2021-01-21,54593
2021-01-22,56626
Workday,68417
7 Day,61495
Count,5121376
